region,policy_name,category,target,benefit,apply_url
나주,나주 귀농귀촌 정착 상담,귀농귀촌,나주시 전입 예정자,주거·농지·교육 정보 상담,https://www.naju.go.kr
나주,청년농 영농정착 컨설팅,청년농,만 18~40세 청년농 준비자,영농계획 수립과 교육 연계,https://www.naju.go.kr
담양,담양 전원생활 정착지원,정착지원,담양 전입 희망 도시민,마을 탐방과 정착 상담 지원,https://www.damyang.go.kr
담양,농촌체험 창업 기초교육,귀농귀촌,체험농장·관광 창업 희망자,창업 교육과 지역 자원 안내,https://www.damyang.go.kr
장성,장성 귀농인 주거 안정 상담,정착지원,장성 전입 귀농귀촌인,빈집·임대주택 정보 상담,https://www.jangseong.go.kr
장성,청년농 농지 연계 상담,청년농,청년 영농창업 희망자,농지 정보와 작목 교육 연계,https://www.jangseong.go.kr
고흥,고흥 스마트팜 실습 연계,스마트팜,스마트팜 창업 희망자,스마트팜 교육·실습 정보 제공,https://www.goheung.go.kr
고흥,귀농 창업 기초 패키지,귀농귀촌,귀농 초기 정착자,영농기술 교육과 창업 상담,https://www.goheung.go.kr
해남,해남 농지·작목 상담,귀농귀촌,농업 중심 귀농 희망자,작목 선택과 농지 탐색 지원,https://www.haenam.go.kr
해남,청년농 정착 초기 지원,청년농,해남 거주 청년농,정착 교육과 멘토링 연계,https://www.haenam.go.kr
강진,강진 귀농인의 집 안내,정착지원,강진 체류형 귀농 준비자,임시 거주와 지역 탐색 지원,https://www.gangjin.go.kr
강진,농산물 가공 창업 교육,귀농귀촌,소규모 가공 창업 희망자,가공 교육과 판로 상담,https://www.gangjin.go.kr
보성,보성 특산작목 교육,귀농귀촌,차·특산작목 관심 귀농인,작목 교육과 재배 상담,https://www.boseong.go.kr
보성,청년농 멘토링 지원,청년농,초기 청년농,선도농가 멘토링과 현장 학습,https://www.boseong.go.kr
영암,영암 농업창업 상담,귀농귀촌,영암 귀농 희망자,창업계획 상담과 교육 안내,https://www.yeongam.go.kr
영암,스마트농업 장비 활용 교육,스마트팜,스마트농업 관심 농업인,기초 장비 활용과 데이터 관리 교육,https://www.yeongam.go.kr
화순,화순 생활정착 통합상담,정착지원,화순 전입 예정자,의료·교통·주거 정보 안내,https://www.hwasun.go.kr
화순,청년농 창업 교육 연계,청년농,화순 청년농 준비자,창업 교육과 정책 정보 제공,https://www.hwasun.go.kr
곡성,곡성 귀촌 체험 프로그램,귀농귀촌,곡성 귀촌 관심자,마을 체험과 지역 탐색 기회 제공,https://www.gokseong.go.kr
곡성,소규모 농업 정착 상담,정착지원,소규모 영농 희망자,농지·주거·생활비 계획 상담,https://www.gokseong.go.kr
